Run Order,Run Date,Location,Name,Location ,Broad Location,Group,Year,Number,C13,O18,Li(7)/Ca,Na(23)/Ca,Mg(24)/Ca,Mn(55)/Ca,Fe(57)/Ca,Cu(63)/Ca,Cu(65)/Ca,Zn(66)/Ca,Zn(68)/Ca,Sr(88)/Ca,Ag(107)/Ca,Cd(111)/Ca,Ba(137)/Ca,Pb(208)/Ca
71,43187,Hempstead,68,16,SNE,2,2016,160,-4.0,28.8,8.95369E-07,0.00689466,0.000116272,1.20234E-05,5.34446E-06,1.65337E-06,1.47579E-06,2.63894E-05,2.41174E-05,0.004983854,-2.7754E-08,-2.51749E-08,4.55398E-06,3.26769E-07
47,43187,Hempstead,69,16,SNE,2,2016,161,-3.9,29.2,9.49824E-07,0.007314001,0.000117124,1.78761E-05,9.59178E-06,2.03956E-06,2.09265E-06,3.04481E-05,2.77158E-05,0.004583492,-2.38017E-08,-1.62634E-08,5.27451E-06,4.23958E-07
28,43187,Hempstead,70,16,SNE,2,2016,162,-3.9,28.8,9.02454E-07,0.00714554,0.000141967,1.71103E-05,5.09215E-06,1.20478E-06,1.08952E-06,2.44323E-05,2.19536E-05,0.00488797,-3.40488E-08,-1.41684E-08,4.72038E-06,1.26643E-06
35,43343,Little Harbor,93,1,GOM,1,2016,163,,,7.086E-07,0.001737889,0.000101898,2.95076E-06,6.5319E-05,1.52215E-05,1.51078E-05,6.15589E-05,6.08015E-05,0.000775028,1.33464E-07,9.53735E-08,7.55497E-06,1.30735E-06
39,43343,Little Harbor,94,1,GOM,1,2016,164,-1.5,32.6,1.25898E-06,0.015139389,0.000177571,5.60218E-06,0.000138929,1.42029E-05,1.40042E-05,6.1478E-05,6.08665E-05,0.003527776,1.44635E-07,9.14388E-08,9.41988E-06,8.4275E-07
40,43343,Little Harbor,95,1,GOM,1,2016,165,-2.1,32.2,8.40109E-07,0.002593586,0.000111808,3.34622E-06,4.38314E-05,1.80395E-05,1.77205E-05,8.50317E-05,8.31993E-05,0.001429647,1.465E-07,9.49212E-08,8.62984E-06,1.62968E-06
41,43343,Little Harbor,96,1,GOM,1,2016,167,-2.9,32.5,1.12242E-06,0.005378703,0.000146425,4.40587E-06,0.000104351,1.44949E-05,1.45788E-05,6.32977E-05,6.27361E-05,0.00316142,1.64545E-07,9.45852E-08,9.432E-06,7.36338E-07
42,43343,Little Harbor,97,1,GOM,1,2016,168,-2.0,32.2,8.8697E-07,0.002900545,0.000104678,4.34086E-06,4.52601E-05,1.37045E-05,1.3699E-05,5.60911E-05,5.49591E-05,0.001497391,1.68683E-07,5.35971E-08,8.14129E-06,2.85096E-07
43,43343,Little Harbor,98,1,GOM,1,2016,169,-1.6,32.5,1.39052E-06,0.007625468,0.000143427,6.72192E-06,0.000100861,1.72441E-05,1.73223E-05,6.90863E-05,6.77319E-05,0.004163579,1.86937E-07,4.67685E-08,1.17922E-05,5.23189E-07
44,43343,Little Harbor,99,1,GOM,1,2016,170,-1.8,32.4,1.41996E-06,0.007985232,0.000161465,6.78922E-06,0.000131785,1.7442E-05,1.75609E-05,7.898E-05,7.74177E-05,0.004355147,2.20394E-07,1.57573E-07,1.32682E-05,1.18373E-06
45,43343,Little Harbor,100,1,GOM,1,2016,171,-1.4,32.5,1.22541E-06,0.006827905,0.00013959,4.86503E-06,5.5224E-05,1.34028E-05,1.33657E-05,4.99793E-05,4.99181E-05,0.003457137,1.80851E-07,4.28489E-08,1.03325E-05,9.34787E-08
46,43343,Little Harbor,101,1,GOM,1,2016,172,-1.9,32.3,1.07579E-06,0.003845291,0.000163348,4.34984E-06,9.28416E-05,2.95246E-05,2.90097E-05,7.10932E-05,6.97477E-05,0.0019705,2.14972E-07,7.15854E-08,9.52528E-06,8.42897E-07
50,43343,Little Harbor,102,1,GOM,1,2016,173,-2.0,32.3,1.93536E-06,0.110622367,0.003691937,6.07314E-06,0.000151241,4.96736E-05,4.77283E-05,0.000216538,0.000213237,0.003584122,2.51284E-07,1.33674E-07,1.32953E-05,1.39243E-06
51,43343,Little Harbor,103,1,GOM,1,2016,174,-1.5,31.9,1.6599E-06,0.00293614,0.000460793,1.53977E-05,0.000447178,2.80105E-05,2.67759E-05,0.000128009,0.000126727,0.001009287,6.21961E-07,1.8035E-07,9.48062E-06,3.12131E-06
